epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,248.122,0.73459,0.61994,1.01992,0.93759,0.63333,0.77357,0.59052,0.92535,1.12519,1.06944,0.004006,0.004006,0.004006
62,252.103,0.74642,0.62055,1.05663,0.84758,0.76667,0.87603,0.66477,0.94,0.93882,1.07674,0.0039061,0.0039061,0.0039061
63,255.912,0.7122,0.60307,1.03762,0.9625,0.85587,0.94348,0.71928,0.81093,0.7616,0.97348,0.0038062,0.0038062,0.0038062
64,259.75,0.71937,0.61676,1.03756,0.97813,0.83333,0.93442,0.75601,0.78101,0.82707,0.95416,0.0037063,0.0037063,0.0037063
65,263.806,0.69383,0.58047,0.99671,0.93476,0.95543,0.95863,0.77281,0.77188,0.64527,0.95497,0.0036064,0.0036064,0.0036064
66,268.432,0.7233,0.59805,1.03704,0.98964,0.9,0.95394,0.77286,0.79631,0.62007,0.98694,0.0035065,0.0035065,0.0035065
67,272.157,0.71436,0.60768,1.0148,1,0.89281,0.96184,0.79272,0.73484,0.63208,0.91953,0.0034066,0.0034066,0.0034066
68,275.95,0.69299,0.57542,1.02726,0.81986,0.93333,0.93346,0.77407,0.74325,0.64996,0.9317,0.0033067,0.0033067,0.0033067
69,279.639,0.69022,0.56291,1.02541,0.87162,0.93333,0.94422,0.74924,0.79299,0.70596,0.94284,0.0032068,0.0032068,0.0032068
70,283.53,0.67568,0.53823,1.00182,0.91351,0.9,0.95244,0.79914,0.67848,0.56995,0.88717,0.0031069,0.0031069,0.0031069
71,287.542,0.67166,0.54093,0.99751,0.87798,0.95954,0.95304,0.77982,0.74804,0.56885,0.92311,0.003007,0.003007,0.003007
72,291.589,0.65913,0.53781,1.00349,0.96506,0.92101,0.95571,0.78957,0.73778,0.59432,0.91152,0.0029071,0.0029071,0.0029071
73,295.475,0.63783,0.53604,0.99831,0.99141,0.93333,0.96638,0.77578,0.84183,0.66642,1.01067,0.0028072,0.0028072,0.0028072
74,299.41,0.63721,0.55638,0.994,0.98513,0.83333,0.9225,0.71544,0.8622,0.80505,0.97222,0.0027073,0.0027073,0.0027073
75,303.225,0.61069,0.50265,0.96792,0.9919,0.93333,0.96276,0.81938,0.68632,0.56803,0.85927,0.0026074,0.0026074,0.0026074
76,307.123,0.65174,0.51971,0.99256,0.99188,0.96667,0.96792,0.81036,0.70276,0.54717,0.84292,0.0025075,0.0025075,0.0025075
77,310.998,0.65967,0.51127,1.01115,0.96313,0.9,0.95543,0.81114,0.71294,0.60444,0.88628,0.0024076,0.0024076,0.0024076
78,314.941,0.61692,0.51898,0.98333,1,0.82616,0.95154,0.79303,0.72682,0.6515,0.89181,0.0023077,0.0023077,0.0023077
79,318.704,0.64552,0.51837,0.99331,0.90168,0.93333,0.95472,0.78036,0.72962,0.62224,0.91192,0.0022078,0.0022078,0.0022078
80,322.579,0.65144,0.52472,0.99026,1,0.92776,0.96273,0.80092,0.66051,0.54966,0.85414,0.0021079,0.0021079,0.0021079
81,326.412,0.5996,0.48779,0.97304,0.96539,0.92995,0.96321,0.79802,0.65512,0.56186,0.83507,0.002008,0.002008,0.002008
82,330.686,0.58348,0.47816,0.95879,0.99281,0.9,0.93609,0.77084,0.72928,0.71254,0.89471,0.0019081,0.0019081,0.0019081
83,334.99,0.58785,0.46794,0.97039,0.96361,0.96667,0.96391,0.78215,0.71858,0.60526,0.88773,0.0018082,0.0018082,0.0018082
84,339.309,0.59093,0.47075,0.96936,0.90063,0.90646,0.95045,0.79164,0.68676,0.57422,0.84834,0.0017083,0.0017083,0.0017083
85,343.988,0.58493,0.45674,0.97719,0.87867,0.96563,0.95639,0.78661,0.703,0.57914,0.85258,0.0016084,0.0016084,0.0016084
86,349.173,0.56919,0.48376,0.96553,0.96539,0.92994,0.96161,0.80634,0.73122,0.62136,0.88991,0.0015085,0.0015085,0.0015085
87,353.774,0.57647,0.47411,0.97666,0.95496,0.9,0.95576,0.81037,0.73288,0.57517,0.89896,0.0014086,0.0014086,0.0014086
